genes or gene models annotated to only one Plant Ontology plant embryo development stage,,,,,,
"Arabidopsis thaliana, plant embryo globular stage (PO:0001185)","Arabidopsis thaliana, plant embryo bilateral stage (PO:0004507)","Arabidopsis thaliana, plant embryo cotyledonary stage (PO:0001078)","Arabidopsis thaliana,  mature plant embryo stage (PO:0001081)","Zea mays, plant proembryo stage (PO::0001180)","Zea mays,  plant embryo coleoptilar stage (PO:0001094)","Zea mays, plant embryo true leaf formation stage (PO:0001095)"
AT1G11050,AT1G53790,AT1G37160,AT3G28930,GRMZM2G010333,GRMZM2G144464,GRMZM2G006119   
AT1G11190,AT1G55030,AT1G43590,AT3G52270,GRMZM2G010356,GRMZM2G148441,GRMZM2G006197   
AT1G11540,AT1G63400,AT1G44935,AT3G55910,GRMZM2G010488,GRMZM2G325477,GRMZM2G006210   
AT1G11770,AT1G65360,AT1G47840,AT3G57820,GRMZM2G010884,GRMZM2G325650,GRMZM2G006551   
AT1G12070,AT1G65850,AT1G48180,AT3G62150,GRMZM2G011408,GRMZM2G329584,GRMZM2G006646   
AT1G12180,AT1G66390,AT1G48470,AT3G62930,GRMZM2G011463,GRMZM2G363253,GRMZM2G006841   
AT1G14280,AT1G73850,AT1G49180,AT3G63340,GRMZM2G011708,GRMZM2G382569,GRMZM2G007113   
AT1G14420,AT1G74580,AT1G49470,AT4G09840,GRMZM2G012062,GRMZM2G399136,GRMZM2G007228   
AT1G15010,AT1G76050,AT1G49540,AT4G15380,GRMZM2G012148,GRMZM2G414834,GRMZM2G007252   
AT1G15170,AT1G77230,AT1G51210,AT4G23240,GRMZM2G012276,GRMZM2G447043,GRMZM2G007369   
AT1G15350,AT1G80580,AT1G52050,AT4G27850,GRMZM2G012508,GRMZM2G449182,GRMZM2G007406   
AT1G16390,AT2G02750,AT1G52630,AT4G30420,GRMZM2G012904,GRMZM2G450822,GRMZM2G007698   
AT1G17020,AT2G04860,AT1G55040,AT4G31730,GRMZM2G013206,GRMZM2G457287,GRMZM2G007713   
AT1G17040,AT2G05540,AT1G55550,AT4G35690,GRMZM2G013255,GRMZM2G465868,GRMZM2G008234   
AT1G17540,AT2G15380,AT1G56540,AT5G07400,GRMZM2G014558,GRMZM2G470666,GRMZM2G008250   
AT1G18990,AT2G19900,AT1G59740,AT5G10120,GRMZM2G014768,GRMZM5G842071,GRMZM2G008839   
AT1G19210,AT2G21080,AT1G60180,AT5G12990,GRMZM2G015021,GRMZM5G843141,GRMZM2G008972   
AT1G19500,AT2G21850,AT1G60230,AT5G14650,GRMZM2G015049,GRMZM5G863453,GRMZM2G009009   
AT1G19620,AT2G23050,AT1G61070,AT5G18360,GRMZM2G015127,GRMZM5G866027,GRMZM2G009025   
AT1G19940,AT2G27220,AT1G61210,AT5G45090,GRMZM2G015314,GRMZM5G878365,GRMZM2G009045   
AT1G20180,AT2G27420,AT1G62770,AT5G62830,GRMZM2G015603,GRMZM5G893796,GRMZM2G009359   
AT1G20190,AT2G32620,AT1G62910,AT5G63560,GRMZM2G015708,,GRMZM2G009475   
AT1G20310,AT2G34315,AT1G62940,,GRMZM2G015872,,GRMZM2G009536   
AT1G20350,AT2G36980,AT1G64100,,GRMZM2G016100,,GRMZM2G009652   
AT1G21000,AT2G39310,AT1G64800,,GRMZM2G016370,,GRMZM2G009900   
AT1G21550,AT3G06070,AT1G65130,,GRMZM2G016462,,GRMZM2G009968   
AT1G21850,AT3G07350,AT1G65500,,GRMZM2G016558,,GRMZM2G010266   
AT1G22015,AT3G12955,AT1G65590,,GRMZM2G016744,,GRMZM2G010518   
AT1G22380,AT3G13090,AT1G65810,,GRMZM2G016836,,GRMZM2G010545   
AT1G22400,AT3G14580,AT1G66850,,GRMZM2G017045,,GRMZM2G010570   
AT1G22690,AT3G16890,AT1G67780,,GRMZM2G017268,,GRMZM2G010840   
AT1G22990,AT3G17280,AT1G67800,,GRMZM2G018822,,GRMZM2G010920   
AT1G23040,AT3G20090,AT1G69350,,GRMZM2G019583,,GRMZM2G011007   
AT1G23060,AT3G23880,AT1G69480,,GRMZM2G019806,,GRMZM2G011010   
AT1G23350,AT3G24900,AT1G69500,,GRMZM2G019916,,GRMZM2G011055   
